id action timestamp GameID
56 start 1241689620 OverCooked!_2
56 end 1241689788 null
56 start 1241689800 Assasin's_Creed:_Valhalla
56 end 1241691054 null
56 start 1241691060 League_of_Legends
56 end 1241706179 null
56 start 1241706180 League_of_Legends
56 end 1241706311 null
41 start 1241706420 Fortnite
56 start 1241706960 Runescape_3
56 end 1241707424 null
41 end 1241707850 null
116 start 1241708280 Dota_2
41 start 1241708340 MapleStory
39 start 1241709060 Player_Unknowns_Battleground
39 end 1241710697 null
113 start 1241712120 Fortnite
9 start 1241713800 Dota_2
7 start 1241714160 Valorant
8 start 1241714640 Player_Unknowns_Battleground
112 start 1241714820 League_of_Legends
39 start 1241714880 Counter_Strike:_Global_Offensive
113 end 1241714965 null
53 start 1241715360 World_of_Warcraft
91 start 1241715540 World_of_Warcraft
82 start 1241717520 OverCooked!_2
90 start 1241718000 Fortnite
11 start 1241718180 MapleStory
82 end 1241718404 null
13 start 1241718480 OverCooked!_2
13 end 1241718551 null
13 start 1241718600 Dota_2
8 end 1241718849 null
111 start 1241720700 League_of_Legends
82 start 1241720760 Rainbow_Six:_Siege
91 end 1241722042 null
91 start 1241722080 Tera
53 end 1241722269 null
91 end 1241722314 null
91 start 1241722320 Dota_2
113 start 1241722440 Monster_Hunter_World
39 end 1241725023 null
90 end 1241725631 null
90 start 1241725800 Halo:_The_Master_Chief_Collection
90 end 1241726622 null
91 end 1241730694 null
39 start 1241730960 MapleStory
41 end 1241731004 null
41 start 1241731320 Fortnite
116 end 1241731349 null
112 end 1241731361 null
41 end 1241731464 null
43 start 1241731560 Fall_Guys!_Ultimate_Knockout
7 end 1241731993 null
7 start 1241732100 Monster_Hunter_World
113 end 1241732461 null
57 start 1241732520 Player_Unknowns_Battleground
43 end 1241733934 null
9 end 1241733988 null
8 start 1241734260 Ghost_Recon_Breakpoint
84 start 1241734320 Monster_Hunter_World
13 end 1241734457 null
57 end 1241734875 null
41 start 1241735220 OverCooked!_2
41 end 1241735356 null
84 end 1241735372 null
41 start 1241735400 Fortnite
41 end 1241735580 null
91 start 1241735820 Assasin's_Creed:_Valhalla
11 end 1241736027 null
56 start 1241736300 MapleStory
82 end 1241736455 null
53 start 1241736600 League_of_Legends
111 end 1241736635 null
53 end 1241736745 null
91 end 1241737873 null
39 end 1241738512 null
8 end 1241739426 null
56 end 1241742079 null
8 start 1241744820 Fortnite
53 start 1241745180 Valorant
8 end 1241745269 null
7 end 1241749235 null
53 end 1241749966 null
53 start 1241749980 Rainbow_Six:_Siege
53 end 1241750593 null
116 start 1241764020 Player_Unknowns_Battleground
116 end 1241764350 null
115 start 1241766060 Assasin's_Creed:_Valhalla
113 start 1241766540 League_of_Legends
113 end 1241767275 null
113 start 1241767380 Fortnite
115 end 1241767538 null
115 start 1241767560 Halo:_The_Master_Chief_Collection
113 end 1241767958 null
113 start 1241767980 Valorant
115 end 1241768947 null
