id action timestamp GameID
56 start 1241689620 Grand_Theft_Auto_V
56 end 1241689788 null
56 start 1241689800 War_Thunder
56 end 1241691054 null
56 start 1241691060 Sid_Meier's_Civilization_VI
56 end 1241706179 null
56 start 1241706180 PLAYERUNKNOWN'S_BATTLEGROUNDS
56 end 1241706311 null
41 start 1241706420 PLAYERUNKNOWN'S_BATTLEGROUNDS
56 start 1241706960 Counter-Strike:_Global_Offensive
56 end 1241707424 null
41 end 1241707850 null
116 start 1241708280 Unturned
41 start 1241708340 Counter-Strike:_Global_Offensive
39 start 1241709060 Dota_2
39 end 1241710697 null
113 start 1241712120 Dota_2
9 start 1241713800 Terraria
7 start 1241714160 Apex_Legends
8 start 1241714640 Counter-Strike:_Global_Offensive
112 start 1241714820 ARK:_Survival_Evolved
39 start 1241714880 PLAYERUNKNOWN'S_BATTLEGROUNDS
113 end 1241714965 null
53 start 1241715360 Tom_Clancy's_Rainbow_Six_Siege
91 start 1241715540 Dota_2
82 start 1241717520 Rust
90 start 1241718000 Dota_2
11 start 1241718180 Counter-Strike:_Global_Offensive
82 end 1241718404 null
13 start 1241718480 Team_Fortress_2
13 end 1241718551 null
13 start 1241718600 Counter-Strike:_Global_Offensive
8 end 1241718849 null
111 start 1241720700 Dota_2
82 start 1241720760 Dota_2
91 end 1241722042 null
91 start 1241722080 Dota_2
53 end 1241722269 null
91 end 1241722314 null
91 start 1241722320 Counter-Strike:_Global_Offensive
113 start 1241722440 Dota_2
39 end 1241725023 null
90 end 1241725631 null
90 start 1241725800 Dota_2
90 end 1241726622 null
91 end 1241730694 null
39 start 1241730960 Garry's_Mod
41 end 1241731004 null
41 start 1241731320 Counter-Strike:_Global_Offensive
116 end 1241731349 null
112 end 1241731361 null
41 end 1241731464 null
43 start 1241731560 Apex_Legends
7 end 1241731993 null
7 start 1241732100 PLAYERUNKNOWN'S_BATTLEGROUNDS
113 end 1241732461 null
57 start 1241732520 Grand_Theft_Auto_V
43 end 1241733934 null
9 end 1241733988 null
8 start 1241734260 Dead_by_Daylight
84 start 1241734320 Dota_2
13 end 1241734457 null
57 end 1241734875 null
41 start 1241735220 Dota_2
41 end 1241735356 null
84 end 1241735372 null
41 start 1241735400 Counter-Strike:_Global_Offensive
41 end 1241735580 null
91 start 1241735820 Counter-Strike:_Global_Offensive
11 end 1241736027 null
56 start 1241736300 PLAYERUNKNOWN'S_BATTLEGROUNDS
82 end 1241736455 null
53 start 1241736600 Counter-Strike:_Global_Offensive
111 end 1241736635 null
53 end 1241736745 null
91 end 1241737873 null
39 end 1241738512 null
8 end 1241739426 null
56 end 1241742079 null
8 start 1241744820 Team_Fortress_2
53 start 1241745180 Dota_2
8 end 1241745269 null
7 end 1241749235 null
53 end 1241749966 null
53 start 1241749980 Counter-Strike:_Global_Offensive
53 end 1241750593 null
116 start 1241764020 Grand_Theft_Auto_V
116 end 1241764350 null
115 start 1241766060 Dota_2
113 start 1241766540 Unturned
113 end 1241767275 null
113 start 1241767380 FINAL_FANTASY_XIV_Online
115 end 1241767538 null
115 start 1241767560 PAYDAY_2
113 end 1241767958 null
113 start 1241767980 Dota_2
115 end 1241768947 null
116 start 1241769480 Counter-Strike:_Global_Offensive
116 end 1241769480 null
116 start 1241769540 Dota_2
116 end 1241769727 null
116 start 1241769780 Tom_Clancy's_Rainbow_Six_Siege
113 end 1241771109 null
115 start 1241771580 Garry's_Mod
116 end 1241772435 null
116 start 1241772480 Counter-Strike:_Global_Offensive
56 start 1241773020 Don't_Starve_Together
56 end 1241773106 null
56 start 1241773140 Monster_Hunter:_World
116 end 1241773239 null
56 end 1241773307 null
112 start 1241773920 Dota_2
115 end 1241774241 null
56 start 1241774280 PLAYERUNKNOWN'S_BATTLEGROUNDS
56 end 1241774294 null
43 start 1241774340 Apex_Legends
56 start 1241774700 Dota_2
43 end 1241776024 null
56 end 1241776125 null
56 start 1241776140 Apex_Legends
113 start 1241776200 Monster_Hunter:_World
113 end 1241776210 null
84 start 1241776440 Monster_Hunter_Stories_2:_Wings_of_Ruin
113 start 1241776560 Counter-Strike:_Global_Offensive
113 end 1241776574 null
115 start 1241776980 Apex_Legends
113 start 1241777100 Grand_Theft_Auto_V
112 end 1241777229 null
115 end 1241777356 null
116 start 1241777400 Counter-Strike:_Global_Offensive
84 end 1241777631 null
84 start 1241777700 Counter-Strike:_Global_Offensive
116 end 1241777947 null
82 start 1241778060 Dota_2
39 start 1241778240 Left_4_Dead_2
39 end 1241778240 null
115 start 1241779020 Dota_2
84 end 1241779118 null
115 end 1241779589 null
39 start 1241779740 FINAL_FANTASY_XIV_Online
9 start 1241779800 Dota_2
113 end 1241780088 null
113 start 1241780400 Warframe
115 start 1241780880 ARK:_Survival_Evolved
112 start 1241781960 VRChat
43 start 1241782560 Dota_2
82 end 1241784066 null
39 end 1241784410 null
112 end 1241784786 null
11 start 1241785080 Apex_Legends
13 start 1241785140 Rust
80 start 1241785440 Rust
115 end 1241785570 null
56 end 1241786642 null
113 end 1241787973 null
11 end 1241788289 null
9 end 1241788316 null
115 start 1241788320 Apex_Legends
8 start 1241788380 FINAL_FANTASY_XIV_Online
9 start 1241788380 Dota_2
113 start 1241788560 Tom_Clancy's_Rainbow_Six_Siege
80 end 1241788744 null
113 end 1241789091 null
113 start 1241789220 Apex_Legends
115 end 1241789504 null
115 start 1241789520 Apex_Legends
113 end 1241789563 null
113 start 1241789580 Dota_2
11 start 1241790900 Dota_2
80 start 1241791140 Tom_Clancy's_Rainbow_Six_Siege
11 end 1241791676 null
56 start 1241791980 Rust
11 start 1241792040 Unturned
43 end 1241792758 null
43 start 1241792760 Rust
115 end 1241792889 null
43 end 1241792949 null
56 end 1241793141 null
113 end 1241793397 null
113 start 1241793420 Counter-Strike:_Global_Offensive
80 end 1241793520 null
7 start 1241793840 PLAYERUNKNOWN'S_BATTLEGROUNDS
111 start 1241794980 Counter-Strike:_Global_Offensive
41 start 1241795700 PLAYERUNKNOWN'S_BATTLEGROUNDS
43 start 1241796180 PLAYERUNKNOWN'S_BATTLEGROUNDS
43 end 1241796180 null
43 start 1241796240 PLAYERUNKNOWN'S_BATTLEGROUNDS
84 start 1241796660 Dota_2
7 end 1241796794 null
41 end 1241796866 null
113 end 1241796953 null
113 start 1241796960 PLAYERUNKNOWN'S_BATTLEGROUNDS
43 end 1241797320 null
113 end 1241797964 null
39 start 1241797980 Apex_Legends
116 start 1241798520 VRChat
11 end 1241798536 null
116 end 1241798627 null
11 start 1241798640 Terraria
11 end 1241798857 null
11 start 1241799060 Dota_2
8 end 1241799175 null
8 start 1241799180 Counter-Strike:_Global_Offensive
112 start 1241799240 PLAYERUNKNOWN'S_BATTLEGROUNDS
11 end 1241799311 null
11 start 1241799480 Apex_Legends
11 end 1241799555 null
9 end 1241799637 null
7 start 1241800320 Apex_Legends
55 start 1241800800 Grand_Theft_Auto_V
116 start 1241800980 Dota_2
116 end 1241801370 null
54 start 1241801760 Dota_2
111 end 1241801789 null
54 end 1241802068 null
8 end 1241802552 null
84 end 1241803275 null
84 start 1241803560 Counter-Strike:_Global_Offensive
84 end 1241803949 null
84 start 1241803980 Dota_2
84 end 1241804165 null
13 end 1241804299 null
116 start 1241804340 Destiny_2
13 start 1241804340 Tom_Clancy's_Rainbow_Six_Siege
13 end 1241804371 null
9 start 1241805420 Counter-Strike:_Global_Offensive
9 end 1241805574 null
114 start 1241806440 Counter-Strike:_Global_Offensive
39 end 1241806550 null
39 start 1241806560 Counter-Strike:_Global_Offensive
104 start 1241807160 Dota_2
13 start 1241807220 Dota_2
43 start 1241807220 PLAYERUNKNOWN'S_BATTLEGROUNDS
13 end 1241807270 null
84 start 1241807400 Dota_2
84 end 1241807508 null
43 end 1241808331 null
43 start 1241808360 PLAYERUNKNOWN'S_BATTLEGROUNDS
43 end 1241810209 null
43 start 1241810220 Football_Manager_2021
82 start 1241810220 Counter-Strike:_Global_Offensive
43 end 1241811469 null
104 end 1241811755 null
104 start 1241811900 Apex_Legends
53 start 1241811900 PLAYERUNKNOWN'S_BATTLEGROUNDS
105 start 1241812440 Counter-Strike:_Global_Offensive
105 end 1241812748 null
7 end 1241813338 null
104 end 1241814262 null
104 start 1241814300 Grand_Theft_Auto_V
84 start 1241814540 Sid_Meier's_Civilization_VI
43 start 1241814840 Team_Fortress_2
113 start 1241814960 Destiny_2
7 start 1241815440 Counter-Strike:_Global_Offensive
7 end 1241815511 null
7 start 1241815620 Don't_Starve_Together
113 end 1241815671 null
113 start 1241815680 Dota_2
113 end 1241815782 null
43 end 1241815792 null
113 start 1241815800 Dota_2
113 end 1241815850 null
53 end 1241815871 null
53 start 1241815920 PLAYERUNKNOWN'S_BATTLEGROUNDS
9 start 1241816220 Counter-Strike:_Global_Offensive
9 end 1241816279 null
43 start 1241816340 FINAL_FANTASY_XIV_Online
116 end 1241816575 null
43 end 1241817031 null
84 end 1241817633 null
9 start 1241818260 Dota_2
9 end 1241818260 null
53 end 1241818513 null
53 start 1241818560 Dota_2
53 end 1241818655 null
53 start 1241818680 Warframe
