id action timestamp GameID
56 start 1241689620 9
56 end 1241689788 null
56 start 1241689800 1
56 end 1241691054 null
56 start 1241691060 2
56 end 1241706179 null
56 start 1241706180 8
56 end 1241706311 null
41 start 1241706420 14
56 start 1241706960 8
56 end 1241707424 null
41 end 1241707850 null
116 start 1241708280 3
41 start 1241708340 2
39 start 1241709060 5
39 end 1241710697 null
113 start 1241712120 23
9 start 1241713800 1
7 start 1241714160 8
8 start 1241714640 11
112 start 1241714820 6
39 start 1241714880 2
113 end 1241714965 null
53 start 1241715360 2
91 start 1241715540 3
82 start 1241717520 3
90 start 1241718000 5
11 start 1241718180 4
82 end 1241718404 null
13 start 1241718480 1
13 end 1241718551 null
13 start 1241718600 10
8 end 1241718849 null
111 start 1241720700 1
82 start 1241720760 1
91 end 1241722042 null
91 start 1241722080 1
53 end 1241722269 null
91 end 1241722314 null
91 start 1241722320 3
113 start 1241722440 27
39 end 1241725023 null
90 end 1241725631 null
90 start 1241725800 7
90 end 1241726622 null
91 end 1241730694 null
39 start 1241730960 1
41 end 1241731004 null
41 start 1241731320 6
116 end 1241731349 null
112 end 1241731361 null
41 end 1241731464 null
43 start 1241731560 51
7 end 1241731993 null
7 start 1241732100 56
113 end 1241732461 null
57 start 1241732520 4
43 end 1241733934 null
9 end 1241733988 null
8 start 1241734260 1
84 start 1241734320 19
13 end 1241734457 null
57 end 1241734875 null
41 start 1241735220 4
41 end 1241735356 null
84 end 1241735372 null
41 start 1241735400 1
41 end 1241735580 null
91 start 1241735820 1
11 end 1241736027 null
56 start 1241736300 2
82 end 1241736455 null
53 start 1241736600 1
111 end 1241736635 null
53 end 1241736745 null
91 end 1241737873 null
39 end 1241738512 null
8 end 1241739426 null
56 end 1241742079 null
8 start 1241744820 1
53 start 1241745180 27
8 end 1241745269 null
7 end 1241749235 null
53 end 1241749966 null
53 start 1241749980 12
53 end 1241750593 null
116 start 1241764020 10
116 end 1241764350 null
115 start 1241766060 10
113 start 1241766540 3
113 end 1241767275 null
113 start 1241767380 1
115 end 1241767538 null
115 start 1241767560 1
113 end 1241767958 null
113 start 1241767980 1
115 end 1241768947 null
116 start 1241769480 1
116 end 1241769480 null
116 start 1241769540 1
116 end 1241769727 null
116 start 1241769780 12
113 end 1241771109 null
115 start 1241771580 1
116 end 1241772435 null
116 start 1241772480 4
56 start 1241773020 21
56 end 1241773106 null
56 start 1241773140 4
116 end 1241773239 null
56 end 1241773307 null
112 start 1241773920 8
115 end 1241774241 null
56 start 1241774280 1
56 end 1241774294 null
43 start 1241774340 4
56 start 1241774700 9
43 end 1241776024 null
56 end 1241776125 null
56 start 1241776140 1
113 start 1241776200 1
113 end 1241776210 null
84 start 1241776440 6
113 start 1241776560 1
113 end 1241776574 null
115 start 1241776980 5
113 start 1241777100 11
112 end 1241777229 null
115 end 1241777356 null
116 start 1241777400 3
84 end 1241777631 null
84 start 1241777700 2
116 end 1241777947 null
82 start 1241778060 11
39 start 1241778240 17
39 end 1241778240 null
115 start 1241779020 1
84 end 1241779118 null
115 end 1241779589 null
39 start 1241779740 1
9 start 1241779800 2
113 end 1241780088 null
113 start 1241780400 5
115 start 1241780880 1
112 start 1241781960 2
43 start 1241782560 1
82 end 1241784066 null
39 end 1241784410 null
112 end 1241784786 null
11 start 1241785080 36
13 start 1241785140 1
80 start 1241785440 21
115 end 1241785570 null
56 end 1241786642 null
113 end 1241787973 null
11 end 1241788289 null
9 end 1241788316 null
115 start 1241788320 7
8 start 1241788380 63
9 start 1241788380 2
113 start 1241788560 9
80 end 1241788744 null
113 end 1241789091 null
113 start 1241789220 26
115 end 1241789504 null
115 start 1241789520 1
113 end 1241789563 null
113 start 1241789580 7
11 start 1241790900 2
80 start 1241791140 25
11 end 1241791676 null
56 start 1241791980 9
11 start 1241792040 2
43 end 1241792758 null
43 start 1241792760 1
115 end 1241792889 null
43 end 1241792949 null
56 end 1241793141 null
113 end 1241793397 null
113 start 1241793420 1
80 end 1241793520 null
7 start 1241793840 1
111 start 1241794980 1
41 start 1241795700 16
43 start 1241796180 9
43 end 1241796180 null
43 start 1241796240 1
84 start 1241796660 2
7 end 1241796794 null
41 end 1241796866 null
113 end 1241796953 null
113 start 1241796960 1
43 end 1241797320 null
113 end 1241797964 null
39 start 1241797980 4
116 start 1241798520 10
11 end 1241798536 null
116 end 1241798627 null
11 start 1241798640 2
11 end 1241798857 null
11 start 1241799060 21
8 end 1241799175 null
8 start 1241799180 5
112 start 1241799240 1
11 end 1241799311 null
11 start 1241799480 3
11 end 1241799555 null
9 end 1241799637 null
7 start 1241800320 4
55 start 1241800800 27
116 start 1241800980 2
116 end 1241801370 null
54 start 1241801760 1
111 end 1241801789 null
54 end 1241802068 null
8 end 1241802552 null
84 end 1241803275 null
84 start 1241803560 1
84 end 1241803949 null
84 start 1241803980 2
84 end 1241804165 null
13 end 1241804299 null
116 start 1241804340 1
13 start 1241804340 1
13 end 1241804371 null
9 start 1241805420 30
9 end 1241805574 null
114 start 1241806440 14
39 end 1241806550 null
39 start 1241806560 2
104 start 1241807160 5
13 start 1241807220 6
43 start 1241807220 11
13 end 1241807270 null
84 start 1241807400 2
84 end 1241807508 null
