id action timestamp GameID
56 start 1241689620 Bin_1
56 end 1241689788 null
56 start 1241689800 Bin_1
56 end 1241691054 null
56 start 1241691060 Bin_1
56 end 1241706179 null
56 start 1241706180 Bin_1
56 end 1241706311 null
41 start 1241706420 Bin_1
56 start 1241706960 Bin_3
56 end 1241707424 null
41 end 1241707850 null
116 start 1241708280 Bin_4
41 start 1241708340 Bin_1
39 start 1241709060 Bin_1
39 end 1241710697 null
113 start 1241712120 Bin_2
9 start 1241713800 Bin_1
7 start 1241714160 Bin_1
8 start 1241714640 Bin_1
112 start 1241714820 Bin_1
39 start 1241714880 Bin_3
113 end 1241714965 null
53 start 1241715360 Bin_2
91 start 1241715540 Bin_1
82 start 1241717520 Bin_1
90 start 1241718000 Bin_1
11 start 1241718180 Bin_1
82 end 1241718404 null
13 start 1241718480 Bin_1
13 end 1241718551 null
13 start 1241718600 Bin_1
8 end 1241718849 null
111 start 1241720700 Bin_1
82 start 1241720760 Bin_1
91 end 1241722042 null
91 start 1241722080 Bin_1
53 end 1241722269 null
91 end 1241722314 null
91 start 1241722320 Bin_1
113 start 1241722440 Bin_3
39 end 1241725023 null
90 end 1241725631 null
90 start 1241725800 Bin_1
90 end 1241726622 null
91 end 1241730694 null
39 start 1241730960 Bin_1
41 end 1241731004 null
41 start 1241731320 Bin_1
116 end 1241731349 null
112 end 1241731361 null
41 end 1241731464 null
43 start 1241731560 Bin_1
7 end 1241731993 null
7 start 1241732100 Bin_1
113 end 1241732461 null
57 start 1241732520 Bin_3
43 end 1241733934 null
9 end 1241733988 null
8 start 1241734260 Bin_1
84 start 1241734320 Bin_1
13 end 1241734457 null
57 end 1241734875 null
41 start 1241735220 Bin_1
41 end 1241735356 null
84 end 1241735372 null
41 start 1241735400 Bin_1
41 end 1241735580 null
91 start 1241735820 Bin_2
11 end 1241736027 null
56 start 1241736300 Bin_1
82 end 1241736455 null
53 start 1241736600 Bin_1
111 end 1241736635 null
53 end 1241736745 null
91 end 1241737873 null
39 end 1241738512 null
8 end 1241739426 null
56 end 1241742079 null
8 start 1241744820 Bin_1
53 start 1241745180 Bin_2
8 end 1241745269 null
7 end 1241749235 null
53 end 1241749966 null
53 start 1241749980 Bin_1
53 end 1241750593 null
116 start 1241764020 Bin_1
116 end 1241764350 null
115 start 1241766060 Bin_1
113 start 1241766540 Bin_1
113 end 1241767275 null
113 start 1241767380 Bin_1
115 end 1241767538 null
115 start 1241767560 Bin_1
113 end 1241767958 null
113 start 1241767980 Bin_3
115 end 1241768947 null
116 start 1241769480 Bin_1
116 end 1241769480 null
116 start 1241769540 Bin_4
116 end 1241769727 null
116 start 1241769780 Bin_1
113 end 1241771109 null
115 start 1241771580 Bin_2
116 end 1241772435 null
116 start 1241772480 Bin_1
56 start 1241773020 Bin_1
56 end 1241773106 null
56 start 1241773140 Bin_1
116 end 1241773239 null
56 end 1241773307 null
112 start 1241773920 Bin_1
115 end 1241774241 null
56 start 1241774280 Bin_2
56 end 1241774294 null
43 start 1241774340 Bin_1
56 start 1241774700 Bin_1
43 end 1241776024 null
56 end 1241776125 null
56 start 1241776140 Bin_1
113 start 1241776200 Bin_1
113 end 1241776210 null
84 start 1241776440 Bin_4
113 start 1241776560 Bin_2
113 end 1241776574 null
115 start 1241776980 Bin_1
113 start 1241777100 Bin_1
112 end 1241777229 null
115 end 1241777356 null
116 start 1241777400 Bin_1
84 end 1241777631 null
84 start 1241777700 Bin_4
116 end 1241777947 null
82 start 1241778060 Bin_1
39 start 1241778240 Bin_2
39 end 1241778240 null
115 start 1241779020 Bin_3
84 end 1241779118 null
115 end 1241779589 null
39 start 1241779740 Bin_3
9 start 1241779800 Bin_1
113 end 1241780088 null
113 start 1241780400 Bin_1
115 start 1241780880 Bin_2
112 start 1241781960 Bin_1
43 start 1241782560 Bin_1
82 end 1241784066 null
39 end 1241784410 null
112 end 1241784786 null
11 start 1241785080 Bin_1
13 start 1241785140 Bin_4
80 start 1241785440 Bin_2
