Instance number: 1, Hours: 423
Instance number: 2, Hours: 399
Instance number: 3, Hours: 421
Instance number: 4, Hours: 405
Instance number: 5, Hours: 416
Instance number: 6, Hours: 406
Instance number: 7, Hours: 413
Instance number: 8, Hours: 419
Instance number: 9, Hours: 401
Instance number: 10, Hours: 398
Instance number: 11, Hours: 399
Instance number: 12, Hours: 416
Instance number: 13, Hours: 526
Instance number: 14, Hours: 356
Instance number: 15, Hours: 368
Instance number: 16, Hours: 384
Instance number: 17, Hours: 368
Instance number: 18, Hours: 363
Instance number: 19, Hours: 367
Instance number: 20, Hours: 321
Instance number: 21, Hours: 358
Instance number: 22, Hours: 351
Instance number: 23, Hours: 361
Instance number: 24, Hours: 329
Instance number: 25, Hours: 343
Instance number: 26, Hours: 268
Instance number: 27, Hours: 275
Instance number: 28, Hours: 265
Instance number: 29, Hours: 265
Instance number: 30, Hours: 270
Instance number: 31, Hours: 259
Instance number: 32, Hours: 99
Instance number: 33, Hours: 94
Instance number: 34, Hours: 79
Instance number: 35, Hours: 86
