Instance number: 1, Hours: 818
Instance number: 2, Hours: 685
Instance number: 3, Hours: 624
Instance number: 4, Hours: 603
Instance number: 5, Hours: 544
Instance number: 6, Hours: 501
Instance number: 7, Hours: 461
Instance number: 8, Hours: 422
Instance number: 9, Hours: 412
Instance number: 10, Hours: 366
Instance number: 11, Hours: 329
Instance number: 12, Hours: 351
Instance number: 13, Hours: 246
Instance number: 14, Hours: 231
Instance number: 15, Hours: 188
Instance number: 16, Hours: 200
Instance number: 17, Hours: 157
Instance number: 18, Hours: 135
Instance number: 19, Hours: 118
Instance number: 20, Hours: 117
Instance number: 21, Hours: 119
Instance number: 22, Hours: 83
Instance number: 23, Hours: 87
Instance number: 24, Hours: 102
Instance number: 25, Hours: 50
Instance number: 26, Hours: 44
Instance number: 27, Hours: 38
Instance number: 28, Hours: 26
Instance number: 29, Hours: 14
Instance number: 30, Hours: 12
Instance number: 31, Hours: 6
Instance number: 32, Hours: 3
Instance number: 33, Hours: 1
Instance number: 34, Hours: 3
Instance number: 35, Hours: 4
