Instance,Hours (Normal_1),,Instance,Hours (Optimized_1),,Instance,Hours (Normal_7),,Instance,Hours (Optimized_7),,Instance,Hours (Normal_30),,Instance,Hours (Optimized_30)
1,423,,1,282,,1,423,,1,288,,1,158,,1,137
2,399,,2,273,,2,163,,2,157,,2, 50,,2, 47
3,421,,3,361,,3,246,,3,167,,3,109,,3,110
4,405,,4,293,,4,161,,4,163,,4,256,,4,221
5,416,,5,293,,5,203,,5,173,,5,266,,5,205
6,406,,6,305,,6,226,,6,180,,6, 92,,6, 92
7,413,,7,258,,7,358,,7,276,,7,252,,7,190
8,419,,8,327,,8,365,,8,281,,8,108,,8,104
9,401,,9,329,,9,403,,9,383,,9,215,,9,190
10,398,,10,275,,10,483,,10,345,,10,268,,10,207
11,399,,11,285,,11,159,,11,140,,11,104,,11,114
12,416,,12,274,,12,376,,12,280,,12, 97,,12, 95
13,526,,13,304,,13,392,,13,286,,13,135,,13,109
14,356,,14,241,,14,238,,14,208,,14,250,,14,210
15,368,,15,230,,15,379,,15,299,,15,259,,15,212
16,384,,16,256,,16,155,,16,145,,16,119,,16,119
17,368,,17,235,,17,187,,17,158,,17,262,,17,206
18,363,,18,241,,18,152,,18,159,,18,235,,18,201
19,367,,19,286,,19,158,,19,143,,19,319,,19,236
20,321,,20,255,,20,172,,20,142,,20, 80,,20, 83
21,358,,21,235,,21,158,,21,143,,21,195,,21,186
22,351,,22,234,,22,365,,22,262,,22,105,,22, 94
23,361,,23,217,,23,363,,23,268,,23,209,,23,194
24,329,,24,206,,24,359,,24,242,,24, 79,,24, 78
25,343,,25,304,,25,222,,25,171,,25, 77,,25, 77
26,268,,26,189,,26,353,,26,236,,26, 55,,26, 55
27,275,,27,164,,27,354,,27,298,,27, 62,,27, 58
28,265,,28,167,,28,192,,28,179,,28, 51,,28, 51
29,265,,29,178,,29,152,,29,127,,29, 61,,29, 61
30,270,,30,203,,30,133,,30,136,,30,112,,30,120
31,259,,31,163,,31,187,,31,166,,31, 63,,31, 60
32,99,,32,53,,32,129,,32,122,,32,108,,32,103
33,94,,33,66,,33,142,,33,107,,33,117,,33,119
34,79,,34,57,,34,130,,34,122,,34,214,,34,200
35,86,,35,61,,35,319,,35,213,,35, 75,,35, 59
,,,,,,36,320,,36,211,,36, 71,,36, 81
,,,,,,37,118,,37,107,,37,142,,37,132
,,,,,,38,306,,38,211,,38, 73,,38, 76
,,,,,,39,319,,39,249,,39, 59,,39, 49
,,,,,,40,129,,40,107,,40, 57,,40, 54
,,,,,,41,104,,41, 90,,41,155,,41,144
,,,,,,42,247,,42,180,,42, 61,,42, 61
,,,,,,43,269,,43,154,,43,206,,43,190
,,,,,,44,118,,44,100,,44, 71,,44, 59
,,,,,,45, 96,,45, 90,,45, 72,,45, 59
,,,,,,46,113,,46,102,,46,104,,46, 74
,,,,,,47, 96,,47, 79,,47, 78,,47, 74
,,,,,,48,140,,48,111,,48, 92,,48,100
,,,,,,49,152,,49,131,,49,185,,49,155
,,,,,,50,123,,50,130,,50,223,,50,154
,,,,,,51, 64,,51, 61,,51,205,,51,262
,,,,,,,,,,,,52,230,,52,151
,,,,,,,,,,,,53, 50,,53, 50
,,,,,,,,,,,,54, 91,,54, 91
,,,,,,,,,,,,55,231,,55,153
,,,,,,,,,,,,56, 87,,56, 82
,,,,,,,,,,,,57,101,,57, 83
,,,,,,,,,,,,58,103,,58, 97
,,,,,,,,,,,,59,105,,59, 86
,,,,,,,,,,,,60,102,,60, 91
,,,,,,,,,,,,61, 49,,61, 49
,,,,,,,,,,,,62, 60,,62, 57
,,,,,,,,,,,,63,217,,63,176
,,,,,,,,,,,,64,215,,64,187
,,,,,,,,,,,,65, 41,,65, 49
,,,,,,,,,,,,66, 58,,66, 56
,,,,,,,,,,,,67, 65,,67, 60
,,,,,,,,,,,,68, 64,,68, 58
,,,,,,,,,,,,69, 53,,69, 61
,,,,,,,,,,,,70,181,,70,156
,,,,,,,,,,,,71,216,,71,169
,,,,,,,,,,,,72, 43,,72, 43
,,,,,,,,,,,,73, 88,,73, 84
,,,,,,,,,,,,74, 55,,74, 52
,,,,,,,,,,,,75,174,,75,140
,,,,,,,,,,,,76, 36,,76, 37
,,,,,,,,,,,,77,177,,77,169
,,,,,,,,,,,,78, 39,,78, 38
,,,,,,,,,,,,79, 75,,79, 71
,,,,,,,,,,,,80, 43,,80, 50
,,,,,,,,,,,,81,207,,81,164
,,,,,,,,,,,,82,190,,82,142
,,,,,,,,,,,,83, 63,,83, 50
,,,,,,,,,,,,84, 74,,84, 67
,,,,,,,,,,,,85, 80,,85, 76
,,,,,,,,,,,,86, 71,,86, 58
,,,,,,,,,,,,87, 60,,87, 66
,,,,,,,,,,,,88, 33,,88, 34
,,,,,,,,,,,,89, 42,,89, 58
,,,,,,,,,,,,90, 54,,90, 38
,,,,,,,,,,,,91, 50,,91, 62
,,,,,,,,,,,,92,136,,92,125
,,,,,,,,,,,,93, 29,,93, 28
,,,,,,,,,,,,94, 88,,94, 72
,,,,,,,,,,,,95, 28,,95, 26
,,,,,,,,,,,,96, 44,,96, 32
,,,,,,,,,,,,97, 35,,97, 31
,,,,,,,,,,,,98, 57,,98, 52
,,,,,,,,,,,,99, 93,,99, 62
,,,,,,,,,,,,100, 81,,100, 77
,,,,,,,,,,,,101, 18,,101, 15
,,,,,,,,,,,,102, 10,,102, 10
,,,,,,,,,,,,103, 8,,103,7
