id action timestamp AMIID
18 start 120 1
20 start 300 3
6 start 360 2
23 start 420 2
20 end 540 null
21 start 660 1
21 end 780 null
21 start 1020 2
22 start 1200 2
1 start 1320 2
16 start 1560 3
5 start 1620 2
10 start 1680 1
6 end 1800 null
25 start 1860 2
28 start 1920 1
4 start 2040 1
21 end 2220 null
3 start 2460 2
24 start 2580 1
23 end 2640 null
7 start 2700 2
4 end 2760 null
1 end 2940 null
15 start 3000 2
27 start 3120 2
27 end 3240 null
18 end 3360 null
11 start 3420 2
4 start 3600 1
21 start 3720 2
7 end 3780 null
9 start 4080 1
12 start 4140 1
16 end 4320 null
28 end 4380 null
6 start 4440 1
7 start 4500 2
23 start 4620 1
16 start 4680 1
17 start 4740 3
13 start 4800 1
20 start 4860 1
5 end 5100 null
4 end 5160 null
10 end 5220 null
29 start 5340 2
4 start 5400 1
3 end 5460 null
23 end 5520 null
10 start 5640 3
18 start 5700 3
12 end 5940 null
15 end 6060 null
11 end 6120 null
8 start 6180 3
7 end 6360 null
28 start 6420 1
24 end 6540 null
17 end 6780 null
26 start 6900 2
24 start 6960 1
29 end 7020 null
4 end 7080 null
23 start 7140 3
6 end 7380 null
29 start 7440 2
2 start 7500 3
12 start 7620 2
4 start 7740 3
26 end 7860 null
8 end 8040 null
29 end 8100 null
21 end 8220 null
25 end 8280 null
23 end 8340 null
23 start 8400 2
23 end 8460 null
8 start 8520 2
21 start 8580 2
12 end 8700 null
18 end 8940 null
1 start 9060 1
13 end 9180 null
17 start 9240 1
23 start 9300 3
1 end 9360 null
2 end 9420 null
10 end 9540 null
6 start 9600 3
23 end 9660 null
2 start 9780 1
7 start 9900 1
12 start 10020 1
8 end 10080 null
18 start 10140 1
26 start 10260 1
11 start 10560 1
8 start 10680 3
5 start 10740 1
4 end 10920 null
25 start 11040 2
11 end 11160 null
14 start 11280 2
1 start 11460 2
3 start 11760 3
17 end 11820 null
5 end 11880 null
29 start 11940 2
24 end 12120 null
28 end 12240 null
12 end 12360 null
6 end 12420 null
1 end 12480 null
4 start 12540 2
26 end 12660 null
