Bin No, Games, Weighted Probability, Total Space
1,Conan Exiles; Super Animal Royale; Clicker Heroes,0.004098890787727556,69.99
2,Cyberpunk 2077,0.003368290367640869,70.00
3,SCUM,0.0032492042101747486,70.00
4,Middle-earth™: Shadow of War™,0.001570020949582069,70.00
5,Kingdom Come: Deliverance,0.00100538830642374,70.00
6,World of Warships; Football Manager 2021; Shop Titans; Brawlhalla; EVGA Precision X1,0.01850386722030323,70.00
7,Tom Clancy's Rainbow Six Siege; Shadowverse; The Binding of Isaac: Rebirth; Aseprite,0.017220269011523296,69.99
8,ARK: Survival Evolved; Hollow Knight; Wallpaper Engine; People Playground; Geometry Dash; Soundpad; YoloMouse,0.034520955399496414,70.00
9,FINAL FANTASY XIV Online; Sid Meier's Civilization V; Noita; Among Us; Muck,0.01788790433685778,69.95
10,Total War: WARHAMMER II; Crusader Kings III; Lords Mobile; Draw & Guess; Realm of the Mad God Exalt; Terraria,0.01905618060579265,69.99
11,Mount & Blade II: Bannerlord; RuneScape; RimWorld; SAO Utils; tModLoader; Melvor Idle; Plants vs. Zombies: Game of the Year,0.018065849169853133,69.98
12,Divinity: Original Sin 2; Tribes of Midgard; VRChat; Stardew Valley; NGU IDLE; Your Chronicle; Leaf Blower Revolution - Idle Game,0.019154734667143923,69.95
13,Total War: THREE KINGDOMS; Frostpunk; Valheim; Human: Fall Flat; Mount & Blade: Warband; PICO PARK,0.009177846963337205,69.70
14,Project Zomboid; Football Manager 2020; Bloons TD 6; Blender,0.008136869690314394,69.55
15,TEKKEN 7; American Truck Simulator; Hearts of Iron IV; Don't Starve,0.0087904747499704,69.50
16,Killing Floor 2; Dota Underlords; Fall Guys: Ultimate Knockout; Dead Cells,0.004789453620390288,69.50
17,theHunter: Call of the Wild™; Football Manager 2019; Oxygen Not Included,0.0034418637120524087,69.00
18,Dishonored 2; The Sims(TM) 3; Don't Starve Together,0.007182469422575861,69.50
19,Apex Legends; Left 4 Dead 2,0.05825126768583429,69.00
20,Squad; Kenshi,0.0021924856634638877,69.00
21,Dead by Daylight; The Sims™ 4; Albion Online,0.016848295870242627,69.00
22,Bless Unleashed; Phasmophobia; World of Tanks Blitz,0.025513524833912452,69.00
23,Battlefield™ V; DayZ; Factorio,0.014138401384684562,69.00
24,EA SPORTS™ FIFA 21; Planet Zoo; Eternal Return,0.006414569027880533,69.00
25,Battlefield 1 ™; Counter-Strike: Global Offensive; Unturned,0.1441863027649205,69.00
26,Sea of Thieves; Dota 2; Cities: Skylines,0.10599318197528346,69.00
27,STAR WARS™: The Old Republic™; Team Fortress 2; Risk of Rain 2,0.02558299175910102,69.00
28,Assassin's Creed Unity; Splitgate; Gunfire Reborn,0.01065752669001394,69.00
29,Monster Hunter: World; NARAKA: BLADEPOINT; Slay the Spire,0.028582731001480365,69.00
30,Assassin's Creed Odyssey; EVE Online,0.0028546457631677467,69.00
31,Arma 3; Rust; SCP: Secret Laboratory,0.023163284231966147,69.00
32,XCOM 2; Rocket League; They Are Billions,0.008277514548701105,69.00
33,Titanfall® 2; Hunt: Showdown; Totally Accurate Battle Simulator,0.0051268643998776285,69.00
34,Halo: The Master Chief Collection; HUMANKIND™; A Dance of Fire and Ice,0.006997338355940312,69.00
35,Assassin's Creed Origins; DARK SOULS™ III; Idle Champions of the Forgotten Realms,0.004547174886235078,69.00
36,Age of Empires III: Definitive Edition; Sekiro™: Shadows Die Twice; Darkest Dungeon®,0.0038870679961427036,69.00
37,PUBG: BATTLEGROUNDS; Monster Hunter Stories 2: Wings of Ruin; Legends of Idleon MMO,0.059174185406196726,69.00
38,Path of Exile; BeamNG.drive; The Escapists 2,0.0070038401863766805,69.00
39,Dying Light; The Isle; Dyson Sphere Program,0.004831886619027641,68.00
40,Conqueror's Blade; Elite Dangerous; Aim Lab,0.004581052844824577,68.00
41,eFootball PES 2021 SEASON UPDATE; Farming Simulator 19; Europa Universalis IV; Deep Rock Galactic,0.009512520130009233,69.00
42,Russian Fishing 4; GUILTY GEAR -STRIVE-; 鬼谷八荒; Tabletop Simulator,0.005131655222304426,69.00
43,Far Cry 5; Soulworker; Raft; Kerbal Space Program,0.0038928854233752437,69.00
44,Starbase; King's Bounty II; The Elder Scrolls V: Skyrim; Age of Empires II (2013),0.0034558939777308887,68.00
45,For Honor; SnowRunner; Garry's Mod; Crusader Kings II; Onmyoji,0.008169036640894323,69.00
46,Insurgency: Sandstorm; ROMANCE OF THE THREE KINGDOMS XIV; Yu-Gi-Oh! Duel Links,0.0043924997621698865,65.00
47,War Thunder; Fallout 4,0.012422944754288984,69.00
48,Black Desert; SMITE,0.009676776898928019,69.00
49,Warframe; Total War: SHOGUN 2,0.0148823476672459,67.00
50,The Witcher 3: Wild Hunt; Age of Empires II: Definitive Edition,0.009625104457038984,65.00
51,Car Mechanic Simulator 2021; Aliens: Fireteam Elite,0.004226531985241529,65.00
52,Space Engineers; Paladins,0.0028430109087026656,65.00
53,Total War: ROME II - Emperor Edition; Battlefield 4™,0.002491227661934931,65.00
54,BATTLETECH; Company of Heroes 2,0.0020593692403192876,65.00
55,Psychonauts 2; Hell Let Loose; GrandChase,0.0041625402856835855,65.00
56,State of Decay 2; Hades; Satisfactory; The Forest,0.005078956175609649,65.00
57,Assetto Corsa; 封灵档案/Soul Dossier; Total War: MEDIEVAL II - Definitive Edition; Borderlands 2; Stellaris,0.006093241723683157,68.00
58,Sid Meier's Civilization VI; The Elder Scrolls V: Skyrim Special Edition; 7 Days to Die; Euro Truck Simulator 2; MIR4; Fallout: New Vegas,0.025216836045052895,68.00
59,No Man's Sky; DEAD OR ALIVE Xtreme Venus Vacation; Granado Espada; Zero Hour; Grim Dawn,0.004492080428326901,45.00
