id action timestamp GameID
56 start 1241689620 League_of_Legends
56 end 1241689788 null
56 start 1241689800 Fortnite
56 end 1241691054 null
56 start 1241691060 League_of_Legends
56 end 1241706179 null
56 start 1241706180 The_Division_2
56 end 1241706311 null
41 start 1241706420 Dota_2
56 start 1241706960 Valorant
56 end 1241707424 null
41 end 1241707850 null
116 start 1241708280 Dota_2
41 start 1241708340 Fall_Guys!_Ultimate_Knockout
39 start 1241709060 Fall_Guys!_Ultimate_Knockout
39 end 1241710697 null
113 start 1241712120 League_of_Legends
9 start 1241713800 League_of_Legends
7 start 1241714160 Dota_2
8 start 1241714640 League_of_Legends
112 start 1241714820 The_Crew_2
39 start 1241714880 The_Division_2
113 end 1241714965 null
53 start 1241715360 Counter_Strike:_Global_Offensive
91 start 1241715540 The_Division_2
82 start 1241717520 Dota_2
90 start 1241718000 Phantasy_Star_Online_2
11 start 1241718180 OverCooked!_2
82 end 1241718404 null
13 start 1241718480 Rainbow_Six:_Siege
13 end 1241718551 null
13 start 1241718600 Dota_2
8 end 1241718849 null
111 start 1241720700 Forza_Horizon+_4
82 start 1241720760 Fall_Guys!_Ultimate_Knockout
91 end 1241722042 null
91 start 1241722080 Fortnite
53 end 1241722269 null
91 end 1241722314 null
91 start 1241722320 MapleStory
113 start 1241722440 Counter_Strike:_Global_Offensive
39 end 1241725023 null
90 end 1241725631 null
90 start 1241725800 MapleStory
90 end 1241726622 null
91 end 1241730694 null
39 start 1241730960 Fortnite
41 end 1241731004 null
41 start 1241731320 OverCooked!_2
116 end 1241731349 null
112 end 1241731361 null
41 end 1241731464 null
43 start 1241731560 Monster_Hunter_World
7 end 1241731993 null
7 start 1241732100 Fortnite
113 end 1241732461 null
57 start 1241732520 Monster_Hunter_World
43 end 1241733934 null
9 end 1241733988 null
8 start 1241734260 Player_Unknowns_Battleground
84 start 1241734320 Fall_Guys!_Ultimate_Knockout
13 end 1241734457 null
57 end 1241734875 null
41 start 1241735220 Valorant
41 end 1241735356 null
84 end 1241735372 null
41 start 1241735400 MapleStory
41 end 1241735580 null
91 start 1241735820 League_of_Legends
11 end 1241736027 null
56 start 1241736300 Rainbow_Six:_Siege
82 end 1241736455 null
53 start 1241736600 Monster_Hunter_World
111 end 1241736635 null
53 end 1241736745 null
91 end 1241737873 null
39 end 1241738512 null
8 end 1241739426 null
56 end 1241742079 null
8 start 1241744820 Monster_Hunter_World
53 start 1241745180 Fortnite
8 end 1241745269 null
7 end 1241749235 null
53 end 1241749966 null
53 start 1241749980 OverCooked!_2
53 end 1241750593 null
116 start 1241764020 League_of_Legends
116 end 1241764350 null
115 start 1241766060 The_Division_2
113 start 1241766540 Destiny_2
113 end 1241767275 null
113 start 1241767380 League_of_Legends
115 end 1241767538 null
115 start 1241767560 Valorant
113 end 1241767958 null
113 start 1241767980 Fortnite
115 end 1241768947 null
116 start 1241769480 Valorant
116 end 1241769480 null
116 start 1241769540 League_of_Legends
116 end 1241769727 null
116 start 1241769780 OverCooked!_2
113 end 1241771109 null
115 start 1241771580 OverCooked!_2
116 end 1241772435 null
116 start 1241772480 World_of_Warcraft
56 start 1241773020 Runescape_3
56 end 1241773106 null
56 start 1241773140 OverCooked!_2
116 end 1241773239 null
56 end 1241773307 null
112 start 1241773920 Watch_Dogs_Legion
115 end 1241774241 null
56 start 1241774280 Dota_2
56 end 1241774294 null
43 start 1241774340 MapleStory
56 start 1241774700 MapleStory
43 end 1241776024 null
56 end 1241776125 null
56 start 1241776140 League_of_Legends
113 start 1241776200 MapleStory
113 end 1241776210 null
84 start 1241776440 Fortnite
113 start 1241776560 Fall_Guys!_Ultimate_Knockout
113 end 1241776574 null
115 start 1241776980 World_of_Warcraft
113 start 1241777100 Fall_Guys!_Ultimate_Knockout
112 end 1241777229 null
115 end 1241777356 null
116 start 1241777400 MapleStory
84 end 1241777631 null
84 start 1241777700 Monster_Hunter_World
116 end 1241777947 null
82 start 1241778060 MapleStory
39 start 1241778240 Monster_Hunter_World
39 end 1241778240 null
115 start 1241779020 The_Crew_2
84 end 1241779118 null
115 end 1241779589 null
39 start 1241779740 Monster_Hunter_World
9 start 1241779800 Forza_Horizon+_4
113 end 1241780088 null
113 start 1241780400 MineCraft
115 start 1241780880 Rainbow_Six:_Siege
112 start 1241781960 Valorant
43 start 1241782560 Player_Unknowns_Battleground
82 end 1241784066 null
39 end 1241784410 null
112 end 1241784786 null
11 start 1241785080 MapleStory
13 start 1241785140 World_of_Warcraft
80 start 1241785440 MapleStory
115 end 1241785570 null
56 end 1241786642 null
113 end 1241787973 null
11 end 1241788289 null
9 end 1241788316 null
115 start 1241788320 Fall_Guys!_Ultimate_Knockout
8 start 1241788380 For_Honor
9 start 1241788380 Halo:_The_Master_Chief_Collection
113 start 1241788560 Valorant
80 end 1241788744 null
